FirstName,LastName,DateOfBirth,ProductID,Star,Comment
Ethelbert,Retallick,1/13/2003,1, 4.0 , Part of the magic for me growing up as a boy was to buy (or be given) the new Hornby catalogue every year even if it included 90% of the same products as the previous year.  Ive still got my old ones dating back to the 70s and 80s somewhere.  These days the catalogue is especially informative in that it tells you the vintage of the rolling stock which is useful if you are dedicating your railway to one particular era and train company. 
Ethelbert,Retallick,1/13/2003,2, 5.0 , Amazing detail every credit to the photographer in this book a worthy reference manual as well as a sales brochure. even if you only have a passing interest in the hobby you will be transported to another time when we were all younger and in awe of the big trains. 
Ethelbert,Retallick,1/13/2003,3, 5.0 , This was purchased on behalf of my Dad. He is always asking me to look up 00 gauge engines online so this has been a good buy as he can look at it anytime. Would definitely buy the next one 2015!It arrived quickly and in perfect condition :-) 
Ethelbert,Retallick,1/13/2003,4, 5.0 , Everything I really needed to see what was on offer from Hornby in the way of trains.  Would not have minded it included an RRP as well though 
Ethelbert,Retallick,1/13/2003,5, 5.0 , I collect them all as the glossy pictures are great and it is nice that you can still get catalogs to collect. 
Ethelbert,Retallick,1/13/2003,6, 5.0 , What a great book.  Extremely useful insight to all future christmas presents. 
Ethelbert,Retallick,1/13/2003,7, 5.0 , Useful info for someonelike me starting back into the hobby after many years 
Ethelbert,Retallick,1/13/2003,8, 5.0 , A well produced very good quality catalogue.Super quality pictures.
Ethelbert,Retallick,1/13/2003,9, 4.0 , Very happy with the communication with funkybuys 
Ethelbert,Retallick,1/13/2003,10, 5.0 , Great buy.
Ethelbert,Retallick,1/13/2003,11, 5.0 , Simple & GREAT FUN for 5+My nephews face was amazing when he opened this for his birthday!! His mouth dropped open with surprise! (no joke it literally did!)Its very easy to connect the plastic track/assemble it takes 2 mins. Its very easy to connect the trains together and apply to track.All you need is two AA batteries and time to watch your child enjoy themselves!We even added homemade tunnels to this to make it more fun we simply cut holes in cardboard boxes to put around certain parts of the track!This is brilliant for very young kids if theyre very interested in trains. This gets them started in the hobby and doesnt cost much at all! 
Ethelbert,Retallick,1/13/2003,12, 5.0 , Excellent product everybody should have one or to of product  excellent  100 percent ok speedy delivery excellent i give it five stars CLASSIC TOY TRAIN SET TRACK CARRIAGES LIGHT ENGINE BOXED BOYS KIDS BATTERYdouble aa battery goes in top of engine 
Ethelbert,Retallick,1/13/2003,13, 5.0 , I was extremely pleased with the train set really good value for money. 
Raddie,Moxson,7/15/1985,14, 1.0 , i found this item not suitable for young children  very difficult to keep the carriages together and the whole thing kept coming off the track.All very thin plastic. I would not recommend this item. 
Raddie,Moxson,7/15/1985,15, 1.0 , The Train did not work  and as it was a present for my young nephew for Christmas I was very disappointed but as it was only £7 it was not worth the fuss of ordering another 
Raddie,Moxson,7/15/1985,16, 4.0 , Better than expected. It has a proper oval of track rather than just a circle. My 2 year old grandsn loves it although he finds it difficult to put on the track. 
Raddie,Moxson,7/15/1985,17, 5.0 , Brilliant little train.  Bought for my son who was looking for a train that looks like the polar express - he was not disappointed.  Great value. 
Raddie,Moxson,7/15/1985,18, 3.0 , train carriages kept falling track  of and the connectors not good. better on the floor
Raddie,Moxson,7/15/1985,19, 5.0 , I love it. Perfect with the earlier ordered locomotive.Again: I would recommend it to the masters of the topic. Its not just a toy.
Lilli,Amberger,3/17/1993,20, 5.0 , Bought this for my Grandsons birthday.  He is currently collecting some bits for his train set.  Keeps him away from the TV and computers.  So think it was well worth it. 
Lilli,Amberger,3/17/1993,21, 4.0 , only four this time i here you say but i still highly recommend this product as it is a very well engineered piece of equipment and a very worth while addition to every railway enthusiasts collection young or old alike even those who are just starting out this is a good place to get started she also has the lines (a good body) she is neat sweet and petite she also came well boxed and securely wrapped she also came in on time and delivered by courteous gentleman  again many thanks 
Lilli,Amberger,3/17/1993,22, 5.0 , A beautiful little model engine of years gone by.
Lilli,Amberger,3/17/1993,23, 5.0 , the victorian style added to the character that my husband was trying to acheve with his model train layout 
Lilli,Amberger,3/17/1993,24, 5.0 , Good value
Lilli,Amberger,3/17/1993,25, 5.0 , High standard model well worth the wait.  Replaces a model of a Utility Van that has been in production by Triang and Hornby since the 1950s! 
Lilli,Amberger,3/17/1993,26, 4.0 , This a good wagon - thanks
Lilli,Amberger,3/17/1993,27, 5.0 , This has gone down very well this Christmas. Adults and kids collectively enjoy its appearance from around the Christmas tree.Whilst I use this as effectively a Christmas tree decoration it is nevertheless a quality Hornby OO gauge model in its own right and could be used year round for a modelling enthusiast.A word of warning would be that the model is delicate and intricate. If you have cats for example they are sure to damage the delicate parts as they seek to derail the train from the track. 
Lilli,Amberger,3/17/1993,28, 5.0 , My 1st Hornby and I absolutely love it. It will look amazing under my Christmas Tree this year too. Takes minutes to set up and works great. Smooth quiet and fantastic. 
Lilli,Amberger,3/17/1993,29, 5.0 , Excellent value for money and fits around the base of most Christmas trees. My little boy loved it!! 
Lilli,Amberger,3/17/1993,30, 5.0 , Perfect Christmas present for the big kid ordered as a Christmas gift for my dad he loves trains. It arrived on time and looks great. 
Lilli,Amberger,3/17/1993,31, 5.0 , As Usual top quality Hornby quality lovely cute set which kids of all ages will adore 
